failure_event_id,asset_id,pm_event_id_context,failure_date,ticket_open_date,ticket_close_date,failure_category,severity,priority,description,downtime_hours,labor_hours,labor_cost,material_cost,other_costs,total_cost,root_cause,region,environment_type,model
FAIL_000023,GEN_0005,PM_000040,2024-03-20,2024-03-20,2024-03-20,Starter,Medium,Normal,Starter issue observed after PM cycle,5.27,4.36,398.82,505.5,188.93,694.43,Electrical instability,East,Coastal,CAT-450
FAIL_000024,GEN_0005,PM_000040,2024-04-04,2024-04-04,2024-04-04,Oil,Low,Normal,Oil issue observed after PM cycle,3.55,3.6,295.51,880.64,143.09,1023.73,Wear and tear,East,Coastal,CAT-450
FAIL_000025,GEN_0005,PM_000040,2024-04-22,2024-04-22,2024-04-22,Cooling,High,High,Cooling issue observed after PM cycle,6.99,4.32,445.5,2012.9,161.59,2174.49,Electrical instability,East,Coastal,CAT-450
FAIL_000026,GEN_0005,PM_000041,2024-07-16,2024-07-16,2024-07-16,Fuel,Low,Normal,Fuel issue observed after PM cycle,4.65,3.37,264.45,1021.6,105.14,1126.74,Fuel contamination,East,Coastal,CAT-450
FAIL_000027,GEN_0005,PM_000042,2024-10-02,2024-10-02,2024-10-02,Oil,Medium,Normal,Oil issue observed after PM cycle,6.75,2.93,322.0,655.94,152.75,808.69,Electrical instability,East,Coastal,CAT-450
FAIL_000028,GEN_0005,PM_000046,2025-10-28,2025-10-28,2025-10-28,Oil,Low,Normal,Oil issue observed after PM cycle,8.15,1.65,131.58,786.47,238.17,1024.64,Wear and tear,East,Coastal,CAT-450
FAIL_000029,GEN_0006,PM_000052,2024-09-23,2024-09-23,2024-09-23,Control Panel,High,High,Control Panel issue observed after PM cycle,8.85,5.67,471.28,1574.32,250.77,1825.09,Heat stress,East,Cold,CAT-450
FAIL_000030,GEN_0006,PM_000055,2025-07-03,2025-07-03,2025-07-03,Oil,High,High,Oil issue observed after PM cycle,8.21,5.09,467.16,1468.78,226.47,1695.25,Electrical instability,East,Cold,CAT-450
FAIL_000031,GEN_0006,PM_000056,2025-09-08,2025-09-08,2025-09-08,Cooling,Low,Normal,Cooling issue observed after PM cycle,7.98,2.74,275.55,206.47,225.33,431.8,Wear and tear,East,Cold,CAT-450
FAIL_000032,GEN_0006,PM_000057,2025-12-19,2025-12-19,2025-12-19,Alternator,High,High,Alternator issue observed after PM cycle,9.23,4.94,472.85,1314.6,234.89,1549.49,Heat stress,East,Cold,CAT-450
FAIL_000033,GEN_0007,PM_000058,2023-05-26,2023-05-26,2023-05-26,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,5.97,3.82,307.72,808.27,188.28,996.55,Heat stress,West,Hot-Dry,GENX-550
FAIL_000034,GEN_0007,PM_000060,2023-11-11,2023-11-11,2023-11-11,Starter,Medium,Normal,Starter issue observed after PM cycle,1.0,4.54,357.31,501.45,313.13,814.58,Electrical instability,West,Hot-Dry,GENX-550
FAIL_000035,GEN_0007,PM_000064,2024-11-19,2024-11-19,2024-11-19,Starter,Critical,High,Starter issue observed after PM cycle,7.68,5.24,547.17,1515.64,113.16,1628.8,Corrosion,West,Hot-Dry,GENX-550
FAIL_000036,GEN_0008,PM_000073,2024-09-06,2024-09-06,2024-09-06,Oil,Medium,Normal,Oil issue observed after PM cycle,3.37,3.58,260.12,1660.58,158.03,1818.61,Heat stress,West,Hot-Dry,CAT-450
FAIL_000037,GEN_0008,PM_000074,2025-03-08,2025-03-08,2025-03-08,Fuel,Low,Normal,Fuel issue observed after PM cycle,8.18,4.19,451.76,1804.99,198.63,2003.62,Overdue maintenance,West,Hot-Dry,CAT-450
FAIL_000038,GEN_0008,PM_000076,2025-11-01,2025-11-01,2025-11-01,Cooling,High,High,Cooling issue observed after PM cycle,10.94,5.29,488.02,1567.74,185.74,1753.48,Wear and tear,West,Hot-Dry,CAT-450
FAIL_000039,GEN_0009,PM_000078,2023-03-05,2023-03-05,2023-03-05,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,4.79,5.52,559.34,613.68,165.48,779.16,Overdue maintenance,Central,Coastal,CUM-500
FAIL_000040,GEN_0009,PM_000078,2023-03-20,2023-03-20,2023-03-20,Battery,Medium,Normal,Battery issue observed after PM cycle,5.75,2.0,198.44,366.19,200.6,566.79,Wear and tear,Central,Coastal,CUM-500
FAIL_000041,GEN_0009,PM_000080,2023-09-04,2023-09-04,2023-09-04,Cooling,High,High,Cooling issue observed after PM cycle,4.48,6.29,485.5,1392.82,177.12,1569.94,Electrical instability,Central,Coastal,CUM-500
FAIL_000042,GEN_0009,PM_000081,2024-01-16,2024-01-16,2024-01-16,Oil,Medium,Normal,Oil issue observed after PM cycle,4.21,3.37,274.4,725.09,195.8,920.89,Fuel contamination,Central,Coastal,CUM-500
FAIL_000043,GEN_0009,PM_000081,2024-01-26,2024-01-26,2024-01-26,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,1.0,1.73,151.97,806.81,231.07,1037.88,Overdue maintenance,Central,Coastal,CUM-500
FAIL_000044,GEN_0009,PM_000081,2024-02-09,2024-02-09,2024-02-09,Control Panel,Critical,High,Control Panel issue observed after PM cycle,9.44,5.64,506.76,1679.56,199.8,1879.36,Heat stress,Central,Coastal,CUM-500
FAIL_000045,GEN_0009,PM_000082,2024-04-12,2024-04-12,2024-04-12,Fuel,High,High,Fuel issue observed after PM cycle,9.91,5.73,566.8,1609.82,218.26,1828.08,Wear and tear,Central,Coastal,CUM-500
FAIL_000046,GEN_0009,PM_000082,2024-04-14,2024-04-14,2024-04-14,Starter,High,High,Starter issue observed after PM cycle,11.69,5.52,414.84,1171.88,159.38,1331.26,Electrical instability,Central,Coastal,CUM-500
FAIL_000047,GEN_0009,PM_000084,2024-11-16,2024-11-16,2024-11-16,Battery,Medium,Normal,Battery issue observed after PM cycle,1.0,5.45,558.65,502.72,242.22,744.94,Electrical instability,Central,Coastal,CUM-500
FAIL_000048,GEN_0009,PM_000084,2024-11-28,2024-11-28,2024-11-28,Control Panel,Critical,High,Control Panel issue observed after PM cycle,7.63,5.62,470.47,1531.62,233.99,1765.61,Overdue maintenance,Central,Coastal,CUM-500
FAIL_000049,GEN_0009,PM_000088,2025-10-22,2025-10-22,2025-10-22,Fuel,Medium,Normal,Fuel issue observed after PM cycle,2.04,5.74,527.28,668.57,228.5,897.07,Corrosion,Central,Coastal,CUM-500
FAIL_000050,GEN_0009,PM_000088,2025-11-08,2025-11-08,2025-11-08,Oil,High,High,Oil issue observed after PM cycle,9.63,4.0,331.19,1257.23,227.8,1485.03,Wear and tear,Central,Coastal,CUM-500
FAIL_000051,GEN_0010,PM_000096,2024-12-14,2024-12-14,2024-12-14,Fuel,High,High,Fuel issue observed after PM cycle,8.27,6.18,619.13,1397.3,230.25,1627.55,Fuel contamination,West,Coastal,GENX-550
FAIL_000052,GEN_0010,PM_000096,2024-12-21,2024-12-21,2024-12-21,Fuel,High,High,Fuel issue observed after PM cycle,14.01,4.75,426.56,1881.83,80.0,1961.83,Fuel contamination,West,Coastal,GENX-550
FAIL_000053,GEN_0010,PM_000098,2025-07-03,2025-07-03,2025-07-03,Cooling,Medium,Normal,Cooling issue observed after PM cycle,2.92,4.05,320.39,1065.13,167.64,1232.77,Corrosion,West,Coastal,GENX-550
FAIL_000054,GEN_0010,PM_000099,2025-09-09,2025-09-09,2025-09-09,Fuel,Low,Normal,Fuel issue observed after PM cycle,2.83,4.11,326.3,644.2,152.22,796.42,Electrical instability,West,Coastal,GENX-550
FAIL_000055,GEN_0011,PM_000106,2024-09-14,2024-09-14,2024-09-14,Alternator,Medium,Normal,Alternator issue observed after PM cycle,6.35,3.97,331.91,1084.64,128.29,1212.93,Heat stress,Central,Rural,CAT-450
FAIL_000056,GEN_0011,PM_000106,2024-09-15,2024-09-15,2024-09-15,Alternator,High,High,Alternator issue observed after PM cycle,8.33,5.68,537.04,1576.1,233.2,1809.3,Heat stress,Central,Rural,CAT-450
FAIL_000057,GEN_0012,PM_000112,2023-05-12,2023-05-12,2023-05-12,Alternator,High,High,Alternator issue observed after PM cycle,9.14,6.58,597.33,1811.75,136.35,1948.1,Wear and tear,West,Urban,KOH-400
FAIL_000058,GEN_0012,PM_000114,2024-01-20,2024-01-20,2024-01-20,Fuel,Low,Normal,Fuel issue observed after PM cycle,5.57,2.67,226.63,965.32,113.81,1079.13,Electrical instability,West,Urban,KOH-400
FAIL_000059,GEN_0012,PM_000116,2024-10-05,2024-10-05,2024-10-05,Alternator,High,High,Alternator issue observed after PM cycle,9.3,3.45,312.42,1248.41,273.43,1521.84,Overdue maintenance,West,Urban,KOH-400
FAIL_000060,GEN_0012,PM_000117,2025-01-01,2025-01-01,2025-01-01,Oil,Medium,Normal,Oil issue observed after PM cycle,10.19,5.24,419.99,362.11,160.33,522.44,Fuel contamination,West,Urban,KOH-400
FAIL_000061,GEN_0013,PM_000122,2023-06-23,2023-06-23,2023-06-23,Starter,Medium,Normal,Starter issue observed after PM cycle,6.95,3.96,435.97,130.14,172.9,303.04,Wear and tear,Central,Urban,CAT-450
FAIL_000062,GEN_0013,PM_000124,2023-12-25,2023-12-25,2023-12-25,Alternator,Low,Normal,Alternator issue observed after PM cycle,7.92,2.24,209.2,1060.45,201.24,1261.69,Corrosion,Central,Urban,CAT-450
FAIL_000063,GEN_0013,PM_000126,2024-07-15,2024-07-15,2024-07-15,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,6.51,4.21,390.22,1021.9,144.95,1166.85,Fuel contamination,Central,Urban,CAT-450
FAIL_000064,GEN_0013,PM_000127,2024-10-16,2024-10-16,2024-10-16,Oil,Low,Normal,Oil issue observed after PM cycle,4.2,5.05,477.32,1072.04,160.36,1232.4,Electrical instability,Central,Urban,CAT-450
FAIL_000065,GEN_0013,PM_000127,2024-10-18,2024-10-18,2024-10-18,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,2.99,3.11,329.76,845.78,151.09,996.87,Wear and tear,Central,Urban,CAT-450
FAIL_000066,GEN_0013,PM_000128,2025-02-05,2025-02-05,2025-02-05,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,9.52,2.51,168.29,862.95,237.02,1099.97,Overdue maintenance,Central,Urban,CAT-450
FAIL_000067,GEN_0014,PM_000138,2024-10-28,2024-10-28,2024-10-28,Oil,Low,Normal,Oil issue observed after PM cycle,4.31,2.22,235.62,1205.65,197.97,1403.62,Wear and tear,Central,Urban,GENX-550
FAIL_000068,GEN_0014,PM_000138,2024-11-01,2024-11-01,2024-11-01,Cooling,Medium,Normal,Cooling issue observed after PM cycle,4.29,2.96,288.2,600.87,167.12,767.99,Heat stress,Central,Urban,GENX-550
FAIL_000069,GEN_0014,PM_000138,2024-11-05,2024-11-05,2024-11-05,Cooling,Low,Normal,Cooling issue observed after PM cycle,3.74,4.05,288.55,1537.3,207.92,1745.22,Fuel contamination,Central,Urban,GENX-550
FAIL_000070,GEN_0014,PM_000141,2025-07-07,2025-07-07,2025-07-07,Cooling,Low,Normal,Cooling issue observed after PM cycle,6.05,2.29,234.84,1001.85,186.49,1188.34,Wear and tear,Central,Urban,GENX-550
FAIL_000071,GEN_0014,PM_000141,2025-07-11,2025-07-11,2025-07-11,Fuel,High,High,Fuel issue observed after PM cycle,8.91,4.68,486.44,923.48,116.42,1039.9,Electrical instability,Central,Urban,GENX-550
FAIL_000072,GEN_0014,PM_000142,2025-12-01,2025-12-01,2025-12-01,Oil,Medium,Normal,Oil issue observed after PM cycle,3.93,2.5,163.34,1463.99,243.51,1707.5,Corrosion,Central,Urban,GENX-550
FAIL_000073,GEN_0015,PM_000144,2023-07-19,2023-07-19,2023-07-19,Oil,Medium,Normal,Oil issue observed after PM cycle,10.6,2.79,186.01,1236.06,139.31,1375.37,Wear and tear,West,Hot-Dry,CAT-450
FAIL_000074,GEN_0015,PM_000145,2023-10-29,2023-10-29,2023-10-29,Battery,Low,Normal,Battery issue observed after PM cycle,5.24,1.53,130.11,375.61,224.77,600.38,Wear and tear,West,Hot-Dry,CAT-450
FAIL_000075,GEN_0015,PM_000147,2024-12-30,2024-12-30,2024-12-30,Fuel,High,High,Fuel issue observed after PM cycle,14.6,7.1,740.62,2523.2,234.78,2757.98,Wear and tear,West,Hot-Dry,CAT-450
FAIL_000076,GEN_0016,PM_000153,2024-01-23,2024-01-23,2024-01-23,Starter,High,High,Starter issue observed after PM cycle,7.67,5.28,451.44,1922.68,267.97,2190.65,Wear and tear,South,Rural,GENX-550
FAIL_000077,GEN_0016,PM_000157,2025-03-28,2025-03-28,2025-03-28,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.64,2.34,237.14,1221.55,209.73,1431.28,Overdue maintenance,South,Rural,GENX-550
FAIL_000078,GEN_0016,PM_000157,2025-04-01,2025-04-01,2025-04-01,Control Panel,Low,Normal,Control Panel issue observed after PM cycle,6.85,3.19,320.4,945.34,214.39,1159.73,Overdue maintenance,South,Rural,GENX-550
FAIL_000079,GEN_0016,PM_000158,2025-05-23,2025-05-23,2025-05-23,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,5.42,4.95,323.52,669.11,139.43,808.54,Electrical instability,South,Rural,GENX-550
FAIL_000080,GEN_0016,PM_000160,2025-12-22,2025-12-22,2025-12-22,Battery,Critical,High,Battery issue observed after PM cycle,10.48,6.71,572.82,1477.96,168.92,1646.88,Wear and tear,South,Rural,GENX-550
FAIL_000081,GEN_0017,PM_000162,2023-11-14,2023-11-14,2023-11-14,Starter,High,High,Starter issue observed after PM cycle,10.99,8.39,692.43,2175.17,255.54,2430.71,Fuel contamination,South,Coastal,CUM-500
FAIL_000082,GEN_0017,PM_000163,2024-04-04,2024-04-04,2024-04-04,Oil,High,High,Oil issue observed after PM cycle,7.01,4.97,449.66,1827.01,232.37,2059.38,Electrical instability,South,Coastal,CUM-500
FAIL_000083,GEN_0017,PM_000166,2025-04-28,2025-04-28,2025-04-28,Oil,High,High,Oil issue observed after PM cycle,11.1,6.99,515.75,1711.27,173.86,1885.13,Wear and tear,South,Coastal,CUM-500
FAIL_000084,GEN_0017,PM_000167,2025-08-20,2025-08-20,2025-08-20,Battery,Low,Normal,Battery issue observed after PM cycle,7.92,4.33,440.75,775.16,198.41,973.57,Wear and tear,South,Coastal,CUM-500
FAIL_000085,GEN_0018,PM_000170,2023-07-08,2023-07-08,2023-07-08,Battery,High,High,Battery issue observed after PM cycle,9.36,5.31,563.23,1472.02,175.08,1647.1,Fuel contamination,East,Coastal,KOH-400
FAIL_000086,GEN_0018,PM_000171,2023-10-20,2023-10-20,2023-10-20,Battery,Medium,Normal,Battery issue observed after PM cycle,5.52,2.95,233.89,751.96,113.89,865.85,Fuel contamination,East,Coastal,KOH-400
FAIL_000087,GEN_0018,PM_000171,2023-10-27,2023-10-27,2023-10-27,Alternator,Low,Normal,Alternator issue observed after PM cycle,2.53,4.84,490.31,850.09,138.14,988.23,Wear and tear,East,Coastal,KOH-400
FAIL_000088,GEN_0018,PM_000171,2023-11-17,2023-11-17,2023-11-17,Fuel,Critical,High,Fuel issue observed after PM cycle,8.06,6.66,649.61,2015.07,194.91,2209.98,Wear and tear,East,Coastal,KOH-400
FAIL_000089,GEN_0018,PM_000174,2024-07-13,2024-07-13,2024-07-13,Cooling,Low,Normal,Cooling issue observed after PM cycle,2.43,2.16,150.3,536.38,153.12,689.5,Heat stress,East,Coastal,KOH-400
FAIL_000090,GEN_0018,PM_000176,2025-02-24,2025-02-24,2025-02-24,Fuel,Medium,Normal,Fuel issue observed after PM cycle,4.67,3.85,251.26,722.43,195.37,917.8,Wear and tear,East,Coastal,KOH-400
FAIL_000091,GEN_0018,PM_000177,2025-05-21,2025-05-21,2025-05-21,Battery,Medium,Normal,Battery issue observed after PM cycle,6.83,4.03,367.0,841.21,192.49,1033.7,Wear and tear,East,Coastal,KOH-400
FAIL_000092,GEN_0018,PM_000177,2025-06-10,2025-06-10,2025-06-10,Cooling,Low,Normal,Cooling issue observed after PM cycle,9.7,1.0,106.69,1309.2,183.9,1493.1,Electrical instability,East,Coastal,KOH-400
FAIL_000093,GEN_0018,PM_000178,2025-09-23,2025-09-23,2025-09-23,Fuel,Low,Normal,Fuel issue observed after PM cycle,8.52,2.08,212.45,1084.79,308.2,1392.99,Overdue maintenance,East,Coastal,KOH-400
FAIL_000094,GEN_0019,PM_000180,2023-04-11,2023-04-11,2023-04-11,Oil,Medium,Normal,Oil issue observed after PM cycle,8.54,4.88,422.75,1486.93,167.82,1654.75,Corrosion,Central,Coastal,CUM-500
FAIL_000095,GEN_0019,PM_000181,2023-08-24,2023-08-24,2023-08-24,Cooling,High,High,Cooling issue observed after PM cycle,10.21,4.95,371.7,1165.94,184.04,1349.98,Overdue maintenance,Central,Coastal,CUM-500
FAIL_000096,GEN_0019,PM_000183,2024-09-03,2024-09-03,2024-09-03,Fuel,Low,Normal,Fuel issue observed after PM cycle,4.72,3.96,285.08,789.78,199.36,989.14,Heat stress,Central,Coastal,CUM-500
FAIL_000097,GEN_0020,PM_000191,2025-01-06,2025-01-06,2025-01-06,Battery,Medium,Normal,Battery issue observed after PM cycle,3.91,5.09,388.29,1305.76,241.32,1547.08,Corrosion,East,Urban,CUM-500
FAIL_000098,GEN_0020,PM_000193,2025-10-09,2025-10-09,2025-10-09,Starter,Low,Normal,Starter issue observed after PM cycle,4.68,6.42,610.01,1029.0,163.18,1192.18,Wear and tear,East,Urban,CUM-500
FAIL_000099,GEN_0021,PM_000195,2023-04-27,2023-04-27,2023-04-27,Alternator,Medium,Normal,Alternator issue observed after PM cycle,3.22,3.77,367.4,826.95,183.84,1010.79,Wear and tear,Central,Rural,KOH-400
FAIL_000100,GEN_0021,PM_000195,2023-05-30,2023-05-30,2023-05-30,Cooling,Medium,Normal,Cooling issue observed after PM cycle,5.61,2.99,262.0,920.58,107.28,1027.86,Electrical instability,Central,Rural,KOH-400
FAIL_000101,GEN_0021,PM_000197,2023-12-18,2023-12-18,2023-12-18,Cooling,Critical,High,Cooling issue observed after PM cycle,4.77,6.95,503.26,1444.0,162.53,1606.53,Electrical instability,Central,Rural,KOH-400
FAIL_000102,GEN_0021,PM_000198,2024-04-09,2024-04-09,2024-04-09,Alternator,Critical,High,Alternator issue observed after PM cycle,13.51,5.95,391.27,1555.88,167.78,1723.66,Heat stress,Central,Rural,KOH-400
FAIL_000103,GEN_0021,PM_000203,2025-06-17,2025-06-17,2025-06-17,Oil,Medium,Normal,Oil issue observed after PM cycle,7.25,3.2,307.75,695.48,232.64,928.12,Overdue maintenance,Central,Rural,KOH-400
FAIL_000104,GEN_0022,PM_000206,2023-04-23,2023-04-23,2023-04-23,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,1.01,5.15,499.92,787.49,187.64,975.13,Electrical instability,West,Coastal,KOH-400
FAIL_000105,GEN_0022,PM_000208,2023-09-29,2023-09-29,2023-09-29,Oil,Medium,Normal,Oil issue observed after PM cycle,5.65,3.14,256.29,881.54,172.21,1053.75,Heat stress,West,Coastal,KOH-400
FAIL_000106,GEN_0022,PM_000208,2023-10-02,2023-10-02,2023-10-02,Oil,Medium,Normal,Oil issue observed after PM cycle,4.79,1.66,110.26,556.04,130.16,686.2,Fuel contamination,West,Coastal,KOH-400
FAIL_000107,GEN_0022,PM_000210,2024-04-25,2024-04-25,2024-04-25,Fuel,High,High,Fuel issue observed after PM cycle,9.96,4.28,465.16,1163.25,124.73,1287.98,Heat stress,West,Coastal,KOH-400
FAIL_000108,GEN_0022,PM_000211,2024-08-12,2024-08-12,2024-08-12,Starter,Critical,High,Starter issue observed after PM cycle,8.31,6.13,567.97,1510.64,197.14,1707.78,Corrosion,West,Coastal,KOH-400
FAIL_000109,GEN_0022,PM_000212,2024-12-03,2024-12-03,2024-12-03,Starter,High,High,Starter issue observed after PM cycle,9.5,4.76,366.38,1456.22,179.78,1636.0,Heat stress,West,Coastal,KOH-400
FAIL_000110,GEN_0022,PM_000212,2024-12-10,2024-12-10,2024-12-10,Control Panel,Critical,High,Control Panel issue observed after PM cycle,10.66,7.09,488.75,1181.82,169.45,1351.27,Heat stress,West,Coastal,KOH-400
FAIL_000111,GEN_0022,PM_000213,2025-02-13,2025-02-13,2025-02-13,Cooling,High,High,Cooling issue observed after PM cycle,9.75,6.17,404.44,1533.02,180.43,1713.45,Wear and tear,West,Coastal,KOH-400
FAIL_000112,GEN_0022,PM_000215,2025-07-30,2025-07-30,2025-07-30,Oil,Medium,Normal,Oil issue observed after PM cycle,4.14,2.82,294.2,546.34,229.95,776.29,Wear and tear,West,Coastal,KOH-400
FAIL_000113,GEN_0023,PM_000220,2024-01-16,2024-01-16,2024-01-16,Alternator,Medium,Normal,Alternator issue observed after PM cycle,1.6,1.84,188.38,865.54,270.64,1136.18,Wear and tear,West,Urban,CAT-450
FAIL_000114,GEN_0023,PM_000223,2025-01-17,2025-01-17,2025-01-17,Cooling,Medium,Normal,Cooling issue observed after PM cycle,5.17,2.57,263.11,525.96,237.01,762.97,Wear and tear,West,Urban,CAT-450
FAIL_000115,GEN_0023,PM_000225,2025-09-25,2025-09-25,2025-09-25,Fuel,Medium,Normal,Fuel issue observed after PM cycle,6.81,3.5,289.32,618.71,164.69,783.4,Wear and tear,West,Urban,CAT-450
FAIL_000116,GEN_0024,PM_000228,2023-09-18,2023-09-18,2023-09-18,Control Panel,Medium,Normal,Control Panel issue observed after PM cycle,4.98,2.83,211.01,1071.17,209.51,1280.68,Wear and tear,North,Cold,MTU-480
FAIL_000117,GEN_0024,PM_000228,2023-09-27,2023-09-27,2023-09-27,Battery,Critical,High,Battery issue observed after PM cycle,9.36,6.49,480.14,1759.97,113.83,1873.8,Wear and tear,North,Cold,MTU-480
FAIL_000118,GEN_0024,PM_000229,2024-02-20,2024-02-20,2024-02-20,Cooling,Low,Normal,Cooling issue observed after PM cycle,1.0,3.09,330.36,1035.03,141.23,1176.26,Electrical instability,North,Cold,MTU-480
FAIL_000119,GEN_0024,PM_000230,2024-06-19,2024-06-19,2024-06-19,Cooling,Low,Normal,Cooling issue observed after PM cycle,7.26,3.76,253.74,1347.09,138.52,1485.61,Corrosion,North,Cold,MTU-480
FAIL_000120,GEN_0024,PM_000232,2025-03-08,2025-03-08,2025-03-08,Oil,Low,Normal,Oil issue observed after PM cycle,6.88,5.02,380.52,1420.77,187.99,1608.76,Overdue maintenance,North,Cold,MTU-480
FAIL_000121,GEN_0025,PM_000238,2024-10-23,2024-10-23,2024-10-23,Alternator,Critical,High,Alternator issue observed after PM cycle,16.32,5.74,550.12,1691.06,160.37,1851.43,Wear and tear,East,Urban,CUM-500
