asset_id,asset_name,asset_type,manufacturer,model,install_date,location,region,criticality,environment_type,service_interval_days,base_runtime_hours_per_week,base_load_pct
GEN_0041,Generator 0041,Generator,Caterpillar,CAT-450,2017-04-12,Site_075,East,High,Rural,90,83.17,68.63
GEN_0042,Generator 0042,Generator,Kohler,KOH-400,2015-12-07,Site_251,Central,High,Cold,90,62.2,69.76
GEN_0043,Generator 0043,Generator,MTU,MTU-480,2018-03-16,Site_241,South,Low,Urban,120,62.22,64.63
GEN_0044,Generator 0044,Generator,Kohler,KOH-400,2024-08-30,Site_258,West,Medium,Rural,120,16.93,61.16
GEN_0045,Generator 0045,Generator,Caterpillar,CAT-450,2016-08-25,Site_126,South,Medium,Rural,90,85.64,45.59
GEN_0046,Generator 0046,Generator,Cummins,CUM-500,2017-05-09,Site_090,South,Medium,Rural,90,78.8,70.99
GEN_0047,Generator 0047,Generator,Kohler,KOH-400,2019-11-21,Site_196,East,Low,Rural,120,71.25,60.44
GEN_0048,Generator 0048,Generator,Generix,GENX-550,2020-12-20,Site_209,South,High,Hot-Dry,90,54.95,78.05
GEN_0049,Generator 0049,Generator,Caterpillar,CAT-450,2022-03-25,Site_042,North,Low,Hot-Dry,120,39.25,57.78
GEN_0050,Generator 0050,Generator,Generix,GENX-550,2015-11-25,Site_077,East,Low,Urban,120,38.54,55.95
GEN_0051,Generator 0051,Generator,Kohler,KOH-400,2019-10-04,Site_140,North,Medium,Coastal,120,62.87,64.86
GEN_0052,Generator 0052,Generator,Kohler,KOH-400,2023-06-12,Site_036,South,Low,Coastal,120,32.69,81.71
GEN_0053,Generator 0053,Generator,Generix,GENX-550,2022-04-20,Site_101,South,Medium,Rural,90,61.73,66.81
GEN_0054,Generator 0054,Generator,Cummins,CUM-500,2024-08-09,Site_045,East,High,Hot-Dry,90,74.0,51.3
GEN_0055,Generator 0055,Generator,Kohler,KOH-400,2018-08-09,Site_235,East,Low,Hot-Dry,180,71.51,64.14
GEN_0056,Generator 0056,Generator,MTU,MTU-480,2017-09-16,Site_256,East,High,Hot-Dry,120,54.72,39.96
GEN_0057,Generator 0057,Generator,Caterpillar,CAT-450,2022-03-22,Site_248,East,Medium,Rural,90,37.97,44.78
GEN_0058,Generator 0058,Generator,MTU,MTU-480,2020-06-11,Site_034,South,Medium,Cold,90,21.04,64.65
GEN_0059,Generator 0059,Generator,Caterpillar,CAT-450,2015-03-29,Site_200,Central,Low,Urban,120,60.21,73.12
GEN_0060,Generator 0060,Generator,Cummins,CUM-500,2023-07-16,Site_234,Central,High,Urban,120,71.13,59.28
GEN_0061,Generator 0061,Generator,Caterpillar,CAT-450,2023-03-12,Site_182,West,High,Urban,120,37.26,46.21
GEN_0062,Generator 0062,Generator,Generix,GENX-550,2016-03-14,Site_232,North,Low,Rural,90,75.43,79.93
GEN_0063,Generator 0063,Generator,Caterpillar,CAT-450,2020-05-24,Site_224,Central,Medium,Hot-Dry,90,59.47,53.95
GEN_0064,Generator 0064,Generator,Caterpillar,CAT-450,2015-12-31,Site_213,East,High,Hot-Dry,90,85.53,47.41
GEN_0065,Generator 0065,Generator,Caterpillar,CAT-450,2019-08-03,Site_213,West,Low,Cold,90,72.85,56.74
GEN_0066,Generator 0066,Generator,Cummins,CUM-500,2017-07-17,Site_191,North,Medium,Rural,180,63.26,68.34
GEN_0067,Generator 0067,Generator,Kohler,KOH-400,2017-07-28,Site_195,South,Medium,Coastal,90,75.83,68.6
GEN_0068,Generator 0068,Generator,Kohler,KOH-400,2024-09-22,Site_041,South,High,Hot-Dry,90,60.56,76.91
GEN_0069,Generator 0069,Generator,Kohler,KOH-400,2016-07-14,Site_123,Central,Medium,Urban,90,32.57,39.12
GEN_0070,Generator 0070,Generator,Cummins,CUM-500,2016-06-23,Site_068,North,Medium,Hot-Dry,120,42.61,68.17
GEN_0071,Generator 0071,Generator,Kohler,KOH-400,2017-06-17,Site_237,North,High,Rural,120,75.02,50.3
GEN_0072,Generator 0072,Generator,Kohler,KOH-400,2020-07-30,Site_266,West,Medium,Hot-Dry,90,67.29,63.32
GEN_0073,Generator 0073,Generator,Cummins,CUM-500,2018-11-02,Site_149,Central,Low,Urban,120,67.8,71.99
GEN_0074,Generator 0074,Generator,Cummins,CUM-500,2019-11-15,Site_052,North,High,Cold,90,72.97,42.02
GEN_0075,Generator 0075,Generator,MTU,MTU-480,2022-02-01,Site_047,North,Medium,Cold,90,46.49,45.97
GEN_0076,Generator 0076,Generator,MTU,MTU-480,2019-03-30,Site_094,Central,Medium,Hot-Dry,90,65.44,45.27
GEN_0077,Generator 0077,Generator,Caterpillar,CAT-450,2022-07-24,Site_158,Central,High,Cold,120,68.69,55.74
GEN_0078,Generator 0078,Generator,Kohler,KOH-400,2023-01-04,Site_298,West,Low,Urban,90,54.94,80.85
GEN_0079,Generator 0079,Generator,Generix,GENX-550,2019-10-17,Site_141,Central,Medium,Urban,180,52.21,52.71
GEN_0080,Generator 0080,Generator,Caterpillar,CAT-450,2016-12-10,Site_148,West,High,Rural,90,76.37,35.27
GEN_0081,Generator 0081,Generator,Generix,GENX-550,2020-07-23,Site_195,South,Medium,Rural,90,53.95,62.09
GEN_0082,Generator 0082,Generator,Kohler,KOH-400,2024-04-22,Site_254,West,High,Coastal,120,66.9,67.56
GEN_0083,Generator 0083,Generator,MTU,MTU-480,2016-03-14,Site_256,Central,Medium,Cold,90,38.09,53.33
GEN_0084,Generator 0084,Generator,Kohler,KOH-400,2015-02-01,Site_102,South,High,Coastal,180,69.83,62.08
GEN_0085,Generator 0085,Generator,Cummins,CUM-500,2020-08-29,Site_003,South,Medium,Cold,120,62.19,53.2
GEN_0086,Generator 0086,Generator,Kohler,KOH-400,2024-11-03,Site_229,South,Medium,Hot-Dry,180,63.82,35.08
GEN_0087,Generator 0087,Generator,MTU,MTU-480,2020-01-25,Site_220,North,High,Cold,120,39.17,53.95
GEN_0088,Generator 0088,Generator,MTU,MTU-480,2023-03-18,Site_221,Central,High,Coastal,120,31.57,48.63
GEN_0089,Generator 0089,Generator,MTU,MTU-480,2018-04-02,Site_294,West,Medium,Coastal,90,66.25,57.07
GEN_0090,Generator 0090,Generator,Generix,GENX-550,2019-06-11,Site_247,West,Low,Urban,90,65.17,43.77
GEN_0091,Generator 0091,Generator,Generix,GENX-550,2021-07-26,Site_233,West,Medium,Urban,120,45.09,48.61
GEN_0092,Generator 0092,Generator,Caterpillar,CAT-450,2017-05-02,Site_258,North,Medium,Urban,120,58.51,67.23
GEN_0093,Generator 0093,Generator,Cummins,CUM-500,2021-02-06,Site_202,South,Low,Cold,90,41.35,35.05
GEN_0094,Generator 0094,Generator,Cummins,CUM-500,2019-06-27,Site_120,South,Medium,Urban,90,53.42,61.72
GEN_0095,Generator 0095,Generator,Cummins,CUM-500,2019-03-31,Site_243,North,Medium,Urban,90,90.84,66.06
GEN_0096,Generator 0096,Generator,Kohler,KOH-400,2023-07-21,Site_211,West,Low,Coastal,180,30.31,65.97
GEN_0097,Generator 0097,Generator,Caterpillar,CAT-450,2015-10-28,Site_021,Central,Medium,Hot-Dry,90,67.4,67.83
GEN_0098,Generator 0098,Generator,Cummins,CUM-500,2023-11-13,Site_288,West,Medium,Cold,90,57.72,53.17
GEN_0099,Generator 0099,Generator,Caterpillar,CAT-450,2023-11-26,Site_273,South,High,Hot-Dry,120,49.64,33.22
GEN_0100,Generator 0100,Generator,Cummins,CUM-500,2017-12-29,Site_097,West,High,Hot-Dry,120,63.59,92.59
GEN_0101,Generator 0101,Generator,Generix,GENX-550,2023-08-09,Site_143,South,Medium,Cold,120,78.03,57.74
GEN_0102,Generator 0102,Generator,Generix,GENX-550,2016-09-16,Site_169,South,High,Coastal,180,81.97,58.49
GEN_0103,Generator 0103,Generator,Cummins,CUM-500,2024-05-16,Site_288,North,High,Urban,90,44.77,54.61
GEN_0104,Generator 0104,Generator,Cummins,CUM-500,2022-11-24,Site_094,South,Medium,Urban,90,54.08,51.63
GEN_0105,Generator 0105,Generator,Generix,GENX-550,2024-10-06,Site_091,West,High,Urban,90,54.46,71.77
GEN_0106,Generator 0106,Generator,MTU,MTU-480,2016-02-10,Site_153,North,High,Hot-Dry,90,38.55,45.24
GEN_0107,Generator 0107,Generator,Generix,GENX-550,2017-04-15,Site_097,West,High,Rural,120,21.51,46.04
GEN_0108,Generator 0108,Generator,Cummins,CUM-500,2019-10-28,Site_015,South,Low,Urban,90,40.09,69.37
GEN_0109,Generator 0109,Generator,Caterpillar,CAT-450,2015-11-24,Site_003,South,Low,Hot-Dry,90,70.44,73.68
GEN_0110,Generator 0110,Generator,Cummins,CUM-500,2017-04-22,Site_178,North,Medium,Hot-Dry,120,28.24,65.19
GEN_0111,Generator 0111,Generator,Caterpillar,CAT-450,2024-12-11,Site_257,Central,Medium,Hot-Dry,90,58.18,60.41
GEN_0112,Generator 0112,Generator,MTU,MTU-480,2022-05-03,Site_244,West,Medium,Rural,120,71.68,71.68
GEN_0113,Generator 0113,Generator,Cummins,CUM-500,2023-03-24,Site_024,South,High,Urban,90,63.45,42.6
GEN_0114,Generator 0114,Generator,Generix,GENX-550,2018-01-05,Site_222,West,Medium,Urban,120,79.75,67.06
GEN_0115,Generator 0115,Generator,Caterpillar,CAT-450,2015-08-08,Site_052,Central,Medium,Urban,90,58.97,48.37
GEN_0116,Generator 0116,Generator,MTU,MTU-480,2018-11-17,Site_039,East,Medium,Hot-Dry,90,61.98,64.53
GEN_0117,Generator 0117,Generator,Cummins,CUM-500,2019-06-21,Site_179,East,High,Urban,120,66.18,68.7
GEN_0118,Generator 0118,Generator,Kohler,KOH-400,2023-06-20,Site_263,North,High,Rural,120,58.62,53.86
GEN_0119,Generator 0119,Generator,Generix,GENX-550,2022-08-17,Site_171,Central,Medium,Coastal,90,55.88,49.07
GEN_0120,Generator 0120,Generator,Caterpillar,CAT-450,2018-08-01,Site_157,South,Medium,Rural,120,49.94,56.46
GEN_0121,Generator 0121,Generator,Generix,GENX-550,2018-08-05,Site_289,Central,High,Cold,120,50.3,81.25
GEN_0122,Generator 0122,Generator,Caterpillar,CAT-450,2023-10-17,Site_221,East,Medium,Hot-Dry,90,58.47,64.37
GEN_0123,Generator 0123,Generator,Generix,GENX-550,2024-06-28,Site_171,Central,Medium,Hot-Dry,120,39.96,59.44
GEN_0124,Generator 0124,Generator,Caterpillar,CAT-450,2019-04-23,Site_224,Central,High,Hot-Dry,90,52.62,86.86
GEN_0125,Generator 0125,Generator,MTU,MTU-480,2021-04-06,Site_096,East,Medium,Hot-Dry,90,95.0,74.22
GEN_0126,Generator 0126,Generator,MTU,MTU-480,2015-09-05,Site_060,West,Medium,Urban,90,58.5,67.34
GEN_0127,Generator 0127,Generator,Generix,GENX-550,2015-03-28,Site_287,North,High,Cold,120,42.29,46.69
GEN_0128,Generator 0128,Generator,Cummins,CUM-500,2024-10-01,Site_056,East,High,Urban,90,51.49,56.98
GEN_0129,Generator 0129,Generator,Kohler,KOH-400,2017-06-12,Site_196,East,Low,Rural,90,27.73,40.5
GEN_0130,Generator 0130,Generator,Generix,GENX-550,2022-09-21,Site_271,North,Low,Urban,180,73.16,50.67
GEN_0131,Generator 0131,Generator,Caterpillar,CAT-450,2017-03-22,Site_166,North,High,Coastal,120,17.97,43.55
GEN_0132,Generator 0132,Generator,Caterpillar,CAT-450,2019-07-17,Site_049,South,High,Rural,120,74.79,55.89
GEN_0133,Generator 0133,Generator,Cummins,CUM-500,2016-02-10,Site_229,North,Medium,Urban,180,55.64,83.06
GEN_0134,Generator 0134,Generator,MTU,MTU-480,2018-11-05,Site_080,East,High,Coastal,90,40.78,54.98
GEN_0135,Generator 0135,Generator,Cummins,CUM-500,2016-05-04,Site_256,West,Medium,Rural,90,80.98,70.35
GEN_0136,Generator 0136,Generator,Caterpillar,CAT-450,2015-09-29,Site_267,North,Low,Coastal,90,48.86,62.01
GEN_0137,Generator 0137,Generator,Kohler,KOH-400,2018-08-12,Site_040,Central,Medium,Cold,90,58.1,69.38
GEN_0138,Generator 0138,Generator,Caterpillar,CAT-450,2024-08-04,Site_063,East,Medium,Cold,90,56.59,75.28
GEN_0139,Generator 0139,Generator,Cummins,CUM-500,2015-09-19,Site_140,Central,Medium,Cold,90,62.63,59.73
GEN_0140,Generator 0140,Generator,Generix,GENX-550,2018-09-15,Site_141,North,Medium,Urban,90,65.23,69.73
GEN_0141,Generator 0141,Generator,Cummins,CUM-500,2021-07-28,Site_187,West,Medium,Cold,90,57.97,68.9
GEN_0142,Generator 0142,Generator,Cummins,CUM-500,2022-07-14,Site_001,West,Medium,Coastal,90,36.16,60.93
GEN_0143,Generator 0143,Generator,Caterpillar,CAT-450,2022-11-14,Site_190,North,High,Hot-Dry,90,61.57,71.4
GEN_0144,Generator 0144,Generator,Kohler,KOH-400,2021-07-30,Site_180,North,Medium,Urban,90,65.1,69.56
GEN_0145,Generator 0145,Generator,Generix,GENX-550,2020-10-31,Site_013,West,Low,Cold,120,35.53,67.97
GEN_0146,Generator 0146,Generator,Kohler,KOH-400,2016-09-20,Site_091,West,Medium,Coastal,120,81.67,85.53
GEN_0147,Generator 0147,Generator,Kohler,KOH-400,2020-11-21,Site_153,North,Medium,Rural,120,60.09,73.89
GEN_0148,Generator 0148,Generator,Cummins,CUM-500,2017-08-01,Site_038,South,Medium,Hot-Dry,120,63.44,72.04
GEN_0149,Generator 0149,Generator,Caterpillar,CAT-450,2023-01-17,Site_060,Central,High,Hot-Dry,90,49.99,44.14
GEN_0150,Generator 0150,Generator,Caterpillar,CAT-450,2022-08-27,Site_042,South,High,Rural,180,67.92,68.08
GEN_0151,Generator 0151,Generator,Kohler,KOH-400,2022-09-08,Site_286,East,Medium,Rural,120,23.12,64.43
GEN_0152,Generator 0152,Generator,MTU,MTU-480,2019-05-27,Site_206,Central,Medium,Hot-Dry,120,65.76,57.66
GEN_0153,Generator 0153,Generator,Cummins,CUM-500,2023-06-20,Site_257,North,Low,Hot-Dry,90,42.72,75.69
GEN_0154,Generator 0154,Generator,Cummins,CUM-500,2019-01-10,Site_274,East,High,Hot-Dry,180,66.68,52.53
GEN_0155,Generator 0155,Generator,Generix,GENX-550,2016-01-20,Site_145,South,Medium,Rural,120,35.96,81.66
GEN_0156,Generator 0156,Generator,Cummins,CUM-500,2018-08-16,Site_123,North,Medium,Urban,120,81.26,58.52
GEN_0157,Generator 0157,Generator,Caterpillar,CAT-450,2019-07-17,Site_240,South,High,Urban,120,81.12,63.07
GEN_0158,Generator 0158,Generator,Cummins,CUM-500,2017-11-11,Site_058,Central,Low,Cold,120,61.63,79.83
GEN_0159,Generator 0159,Generator,MTU,MTU-480,2024-05-18,Site_042,West,High,Hot-Dry,120,64.92,64.74
GEN_0160,Generator 0160,Generator,Caterpillar,CAT-450,2020-10-02,Site_053,West,Low,Hot-Dry,90,53.57,56.85
GEN_0161,Generator 0161,Generator,Kohler,KOH-400,2015-03-28,Site_300,East,Low,Cold,120,56.93,82.95
GEN_0162,Generator 0162,Generator,Cummins,CUM-500,2016-10-11,Site_128,West,Medium,Hot-Dry,90,67.57,70.24
GEN_0163,Generator 0163,Generator,Generix,GENX-550,2024-05-11,Site_125,East,Low,Coastal,120,71.44,81.85
GEN_0164,Generator 0164,Generator,MTU,MTU-480,2020-09-11,Site_264,West,High,Urban,90,76.14,59.66
GEN_0165,Generator 0165,Generator,Caterpillar,CAT-450,2015-11-13,Site_131,South,High,Cold,120,54.23,61.79
GEN_0166,Generator 0166,Generator,Caterpillar,CAT-450,2015-08-26,Site_259,East,High,Urban,120,43.69,60.84
GEN_0167,Generator 0167,Generator,Cummins,CUM-500,2020-11-14,Site_078,South,Medium,Coastal,120,58.6,62.93
GEN_0168,Generator 0168,Generator,Cummins,CUM-500,2021-04-01,Site_063,West,High,Urban,90,58.23,72.28
GEN_0169,Generator 0169,Generator,Caterpillar,CAT-450,2015-08-12,Site_120,East,Low,Coastal,120,73.4,67.27
GEN_0170,Generator 0170,Generator,Cummins,CUM-500,2024-07-10,Site_293,North,Low,Hot-Dry,90,18.79,46.99
GEN_0171,Generator 0171,Generator,Cummins,CUM-500,2015-01-24,Site_170,North,Medium,Urban,120,44.23,93.49
GEN_0172,Generator 0172,Generator,Caterpillar,CAT-450,2018-09-19,Site_146,East,Medium,Cold,120,56.13,52.03
GEN_0173,Generator 0173,Generator,Kohler,KOH-400,2022-07-17,Site_082,South,Medium,Hot-Dry,120,64.68,48.15
GEN_0174,Generator 0174,Generator,Caterpillar,CAT-450,2015-02-04,Site_064,Central,High,Cold,90,52.94,68.38
GEN_0175,Generator 0175,Generator,Kohler,KOH-400,2023-05-26,Site_281,North,Medium,Urban,120,70.0,87.21
GEN_0176,Generator 0176,Generator,Generix,GENX-550,2023-12-02,Site_030,East,High,Urban,90,36.84,58.17
GEN_0177,Generator 0177,Generator,MTU,MTU-480,2018-06-08,Site_109,Central,High,Hot-Dry,90,43.93,91.38
GEN_0178,Generator 0178,Generator,Caterpillar,CAT-450,2015-04-28,Site_279,North,Low,Hot-Dry,90,15.57,47.46
GEN_0179,Generator 0179,Generator,Caterpillar,CAT-450,2024-08-14,Site_227,North,Low,Urban,180,78.65,68.93
GEN_0180,Generator 0180,Generator,Cummins,CUM-500,2019-09-06,Site_285,Central,High,Cold,90,66.95,70.79
GEN_0181,Generator 0181,Generator,Kohler,KOH-400,2017-11-23,Site_292,North,Medium,Urban,120,59.38,67.92
GEN_0182,Generator 0182,Generator,Cummins,CUM-500,2024-10-23,Site_031,South,High,Coastal,90,78.43,51.98
GEN_0183,Generator 0183,Generator,Cummins,CUM-500,2018-10-15,Site_279,West,Medium,Coastal,90,29.08,61.94
GEN_0184,Generator 0184,Generator,Kohler,KOH-400,2017-11-28,Site_198,East,Medium,Rural,90,46.39,56.46
GEN_0185,Generator 0185,Generator,Caterpillar,CAT-450,2020-01-02,Site_217,South,High,Hot-Dry,120,59.56,73.55
GEN_0186,Generator 0186,Generator,Cummins,CUM-500,2024-09-12,Site_279,South,Low,Cold,90,68.4,71.12
GEN_0187,Generator 0187,Generator,Cummins,CUM-500,2024-03-16,Site_174,Central,Low,Coastal,120,58.37,56.8
GEN_0188,Generator 0188,Generator,Caterpillar,CAT-450,2016-07-05,Site_256,North,Medium,Hot-Dry,90,25.77,73.55
GEN_0189,Generator 0189,Generator,Cummins,CUM-500,2024-11-16,Site_112,North,Low,Hot-Dry,90,71.19,66.04
GEN_0190,Generator 0190,Generator,Kohler,KOH-400,2017-05-28,Site_290,Central,Medium,Coastal,90,32.79,56.06
GEN_0191,Generator 0191,Generator,MTU,MTU-480,2016-03-04,Site_031,South,Medium,Cold,120,67.83,73.05
GEN_0192,Generator 0192,Generator,Kohler,KOH-400,2024-05-05,Site_111,West,Medium,Cold,120,52.44,49.84
GEN_0193,Generator 0193,Generator,Cummins,CUM-500,2022-04-20,Site_263,North,High,Hot-Dry,90,54.75,68.51
GEN_0194,Generator 0194,Generator,Caterpillar,CAT-450,2016-02-19,Site_114,Central,Medium,Coastal,90,32.99,66.75
GEN_0195,Generator 0195,Generator,Caterpillar,CAT-450,2020-09-26,Site_057,East,High,Coastal,180,27.95,51.1
GEN_0196,Generator 0196,Generator,Generix,GENX-550,2017-06-13,Site_025,West,Low,Coastal,120,68.53,95.0
GEN_0197,Generator 0197,Generator,Cummins,CUM-500,2017-01-16,Site_161,West,High,Hot-Dry,90,41.48,91.72
GEN_0198,Generator 0198,Generator,Cummins,CUM-500,2018-11-19,Site_014,West,Low,Urban,90,67.0,48.5
GEN_0199,Generator 0199,Generator,Generix,GENX-550,2022-03-20,Site_161,South,High,Coastal,90,49.89,59.08
GEN_0200,Generator 0200,Generator,Caterpillar,CAT-450,2017-11-20,Site_094,East,Low,Urban,180,51.93,68.52
GEN_0201,Generator 0201,Generator,MTU,MTU-480,2020-05-27,Site_250,South,Medium,Urban,180,71.27,68.86
GEN_0202,Generator 0202,Generator,Generix,GENX-550,2018-11-17,Site_164,South,Medium,Coastal,120,62.66,81.68
GEN_0203,Generator 0203,Generator,Cummins,CUM-500,2017-10-18,Site_109,North,Medium,Hot-Dry,90,59.51,78.99
GEN_0204,Generator 0204,Generator,Cummins,CUM-500,2023-05-07,Site_184,West,Low,Cold,90,49.32,69.55
GEN_0205,Generator 0205,Generator,Caterpillar,CAT-450,2021-08-21,Site_281,West,Medium,Urban,90,35.44,78.19
GEN_0206,Generator 0206,Generator,Caterpillar,CAT-450,2016-06-26,Site_171,South,High,Rural,120,62.09,71.82
GEN_0207,Generator 0207,Generator,Generix,GENX-550,2021-07-07,Site_260,North,Medium,Rural,90,78.17,80.41
GEN_0208,Generator 0208,Generator,Cummins,CUM-500,2023-06-28,Site_114,South,Low,Rural,90,54.52,61.49
GEN_0209,Generator 0209,Generator,Kohler,KOH-400,2016-08-14,Site_131,South,Medium,Cold,90,72.74,71.86
GEN_0210,Generator 0210,Generator,Caterpillar,CAT-450,2020-11-19,Site_150,West,High,Cold,90,61.79,63.0
GEN_0211,Generator 0211,Generator,Kohler,KOH-400,2024-03-18,Site_127,South,Medium,Hot-Dry,90,63.77,47.31
GEN_0212,Generator 0212,Generator,Caterpillar,CAT-450,2015-03-05,Site_141,Central,Low,Cold,90,53.09,56.88
GEN_0213,Generator 0213,Generator,Kohler,KOH-400,2024-01-11,Site_129,West,Medium,Rural,120,56.17,91.6
GEN_0214,Generator 0214,Generator,Kohler,KOH-400,2024-04-17,Site_289,West,Medium,Coastal,120,44.34,69.52
GEN_0215,Generator 0215,Generator,Generix,GENX-550,2020-04-27,Site_065,West,Medium,Hot-Dry,90,29.72,65.31
GEN_0216,Generator 0216,Generator,Generix,GENX-550,2022-04-27,Site_082,West,Low,Urban,90,91.54,46.51
GEN_0217,Generator 0217,Generator,Cummins,CUM-500,2016-11-21,Site_265,South,Medium,Rural,90,63.28,73.33
GEN_0218,Generator 0218,Generator,Kohler,KOH-400,2018-11-21,Site_083,Central,High,Hot-Dry,120,48.14,63.73
GEN_0219,Generator 0219,Generator,Caterpillar,CAT-450,2017-05-26,Site_235,North,Medium,Cold,90,39.6,72.54
GEN_0220,Generator 0220,Generator,Cummins,CUM-500,2016-10-25,Site_053,Central,Medium,Hot-Dry,90,54.61,69.98
GEN_0221,Generator 0221,Generator,Cummins,CUM-500,2018-08-27,Site_040,Central,High,Rural,90,66.77,74.75
GEN_0222,Generator 0222,Generator,Generix,GENX-550,2018-08-25,Site_150,North,Low,Hot-Dry,180,52.96,40.79
GEN_0223,Generator 0223,Generator,MTU,MTU-480,2020-01-15,Site_238,North,Low,Coastal,90,75.26,78.38
GEN_0224,Generator 0224,Generator,Kohler,KOH-400,2019-07-06,Site_171,South,Medium,Rural,90,73.7,50.02
